ASN,UnSpoofable IP,NAT-Blocking IP,Spoof IP
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=5605 "" target=""_blank"" style=""color:159124;"">5605 (NETUSE)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=59662 "" target=""_blank"" style=""color:159124;"">59662 (DOCUS-EMEA-PROD)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=60294 "" target=""_blank"" style=""color:159124;"">60294 (DE-DGW)</a>",1,4,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=61157 "" target=""_blank"" style=""color:159124;"">61157 (TGOS-ASN1)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=61317 "" target=""_blank"" style=""color:159124;"">61317 (ASDETUK)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6663 "" target=""_blank"" style=""color:159124;"">6663 (TTI-NET)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=680 "" target=""_blank"" style=""color:f7602a;"">680 (DFN)</a>",14,1,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6805 "" target=""_blank"" style=""color:159124;"">6805 (TDDE-ASN1)</a>",362,72,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6830 "" target=""_blank"" style=""color:159124;"">6830 (LGI-UPC)</a>",34,4,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6848 "" target=""_blank"" style=""color:159124;"">6848 (TELENET-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6939 "" target=""_blank"" style=""color:159124;"">6939 (HURRICANE)</a>",48,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=7922 "" target=""_blank"" style=""color:159124;"">7922 (COMCAST-7922)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8220 "" target=""_blank"" style=""color:159124;"">8220 (COLT)</a>",3,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8365 "" target=""_blank"" style=""color:159124;"">8365 (MANDA)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8422 "" target=""_blank"" style=""color:159124;"">8422 (NETCOLOGNE)</a>",5,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8767 "" target=""_blank"" style=""color:159124;"">8767 (MNET-AS)</a>",7,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8881 "" target=""_blank"" style=""color:159124;"">8881 (VERSATEL)</a>",140,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8893 "" target=""_blank"" style=""color:f7602a;"">8893 (ARTFILES-AS)</a>",0,0,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8972 "" target=""_blank"" style=""color:159124;"">8972 (PLUSSERVER-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=9009 "" target=""_blank"" style=""color:159124;"">9009 (M247)</a>",5,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=9145 "" target=""_blank"" style=""color:159124;"">9145 (EWETEL)</a>",3,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=9211 "" target=""_blank"" style=""color:f7602a;"">9211 (WORK-AS)</a>",0,0,2
